kod	adres	miasto	wojewodztwo	powiat
00-001	Poczta Warszawa 001, ul. Świętokrzyska 31/33	Warszawa	mazowieckie	M. Warszawa
00-001	ul. Świętokrzyska 31/33	Warszawa	mazowieckie	M. Warszawa
00-002	ul. Świętokrzyska od 20 do 22	Warszawa	mazowieckie	M. Warszawa
00-003	ul. Jasna od 9 do 17	Warszawa	mazowieckie	M. Warszawa
00-004	ul. Marszałkowska od 136 do 138	Warszawa	mazowieckie	M. Warszawa
00-005	ul. Rysia od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-006	ul. Szkolna	Warszawa	mazowieckie	M. Warszawa
00-007	ul. Jasna od 5 do 7	Warszawa	mazowieckie	M. Warszawa
00-008	ul. Marszałkowska od 124 do 134	Warszawa	mazowieckie	M. Warszawa
00-009	Pl. Młynarskiego Emila	Warszawa	mazowieckie	M. Warszawa
00-009	ul. Moniuszki Stanisława od 6 do ostatniego, od 5 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-010	ul. Sienkiewicza Henryka od 8 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-011	ul. Boduena Gabriela Piotra	Warszawa	mazowieckie	M. Warszawa
00-012	ul. Zgoda od 10 do ostatniego, od 13 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-013	ul. Jasna od 2 do 12, od 1 do 3	Warszawa	mazowieckie	M. Warszawa
00-014	ul. Moniuszki Stanisława od 1 do 3	Warszawa	mazowieckie	M. Warszawa
00-015	ul. Sienkiewicza Henryka od 2 do 6, od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-016	ul. Marszałkowska od 116 do 122	Warszawa	mazowieckie	M. Warszawa
00-017	ul. Marszałkowska od 104 do 114	Warszawa	mazowieckie	M. Warszawa
00-018	ul. Zgoda od 2 do 8, od 1 do 11	Warszawa	mazowieckie	M. Warszawa
00-019	ul. Złota od 2 do 8, od 1 do 11	Warszawa	mazowieckie	M. Warszawa
00-020	ul. Chmielna od 2 do 36	Warszawa	mazowieckie	M. Warszawa
00-020	ul. Szpitalna od 1 do 1	Warszawa	mazowieckie	M. Warszawa
00-021	ul. Chmielna od 1 do 35	Warszawa	mazowieckie	M. Warszawa
00-022	ul. Krucza od 51 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-023	ul. Widok od 2 do ostatniego, od 1 do 17, od 21 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-024	ul. Aleje Jerozolimskie od 26 do 54	Warszawa	mazowieckie	M. Warszawa
00-025	ul. Krucza od 50 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-026	ul. Marszałkowska od 100 do 102	Warszawa	mazowieckie	M. Warszawa
00-026	ul. Widok od 19 do 19	Warszawa	mazowieckie	M. Warszawa
00-027	ul. Pasaż Śródmiejski	Warszawa	mazowieckie	M. Warszawa
00-028	ul. Bracka od 16 do ostatniego, od 15 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-029	ul. Nowy Świat od 15 do 39	Warszawa	mazowieckie	M. Warszawa
00-030	Pl. Powstańców Warszawy od 2 do ostatniego, od 1 do 5	Warszawa	mazowieckie	M. Warszawa
00-031	ul. Szpitalna od 2 do ostatniego, od 3 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-032	ul. Przeskok	Warszawa	mazowieckie	M. Warszawa
00-033	ul. Górskiego Wojciecha	Warszawa	mazowieckie	M. Warszawa
00-034	ul. Warecka od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-035	ul. Tuwima Juliana	Warszawa	mazowieckie	M. Warszawa
00-036	ul. Baczyńskiego Krzysztofa Kamila	Warszawa	mazowieckie	M. Warszawa
00-037	ul. Kubusia Puchatka	Warszawa	mazowieckie	M. Warszawa
00-038	ul. Moniuszki Stanisława od 2 do 4	Warszawa	mazowieckie	M. Warszawa
00-039	Pl. Powstańców Warszawy od 7 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-040	ul. Warecka od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-041	ul. Jasna od 14 do 16	Warszawa	mazowieckie	M. Warszawa
00-042	ul. Nowy Świat od 41 do 63	Warszawa	mazowieckie	M. Warszawa
00-043	ul. Czackiego Tadeusza	Warszawa	mazowieckie	M. Warszawa
00-044	ul. Świętokrzyska od 10 do 12	Warszawa	mazowieckie	M. Warszawa
00-046	ul. Nowy Świat od 65 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-047	ul. Krakowskie Przedmieście od 1 do 3	Warszawa	mazowieckie	M. Warszawa
00-048	ul. Mazowiecka od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-049	ul. Świętokrzyska od 5 do 37	Warszawa	mazowieckie	M. Warszawa
00-050	ul. Świętokrzyska od 14 do 16	Warszawa	mazowieckie	M. Warszawa
00-051	ul. Dowcip	Warszawa	mazowieckie	M. Warszawa
00-052	ul. Mazowiecka od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-052	ul. Świętokrzyska od 18 do 18	Warszawa	mazowieckie	M. Warszawa
00-054	ul. Jasna od 18 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-055	Pl. Dąbrowskiego Jana Henryka od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-056	ul. Kredytowa od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-057	Pl. Dąbrowskiego Jana Henryka od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-058	ul. Jasna od 19 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-059	ul. Rysia od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-060	ul. Królewska od 25 do 29	Warszawa	mazowieckie	M. Warszawa
00-061	ul. Marszałkowska od 140 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-062	ul. Kredytowa od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-062	ul. Księdza Biskupa Burschego Juliusza	Warszawa	mazowieckie	M. Warszawa
00-063	Pl. Małachowskiego Stanisława od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-064	ul. Królewska od 15 do 23	Warszawa	mazowieckie	M. Warszawa
00-065	ul. Królewska od 2 do 14, od 1 do 13	Warszawa	mazowieckie	M. Warszawa
00-066	Pl. Małachowskiego Stanisława od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-067	ul. Pasaż Niżyńskiego	Warszawa	mazowieckie	M. Warszawa
00-067	ul. Traugutta Romualda	Warszawa	mazowieckie	M. Warszawa
00-068	ul. Generała Tokarzewskiego Karaszewicza Michała	Warszawa	mazowieckie	M. Warszawa
00-068	ul. Krakowskie Przedmieście od 5 do 11	Warszawa	mazowieckie	M. Warszawa
00-070	ul. Kozia	Warszawa	mazowieckie	M. Warszawa
00-071	ul. Krakowskie Przedmieście od 13 do 77	Warszawa	mazowieckie	M. Warszawa
00-072	ul. Ossolińskich	Warszawa	mazowieckie	M. Warszawa
00-073	Pl. Marszałka Piłsudskiego Józefa od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-074	ul. Trębacka	Warszawa	mazowieckie	M. Warszawa
00-075	ul. Senatorska od 2 do 4, od 1 do 21	Warszawa	mazowieckie	M. Warszawa
00-076	ul. Moliera Jana Baptysty	Warszawa	mazowieckie	M. Warszawa
00-077	Pl. Teatralny	Warszawa	mazowieckie	M. Warszawa
00-078	Pl. Marszałka Piłsudskiego Józefa od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-079	ul. Krakowskie Przedmieście od 79 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-080	ul. Miodowa od 2 do 4, od 1 do 3	Warszawa	mazowieckie	M. Warszawa
00-081	Poczta Warszawa 005, ul. Miodowa 1	Warszawa	mazowieckie	M. Warszawa
00-081	Skrytki Pocztowe Poczta Warszawa 005, ul. Miodowa 1	Warszawa	mazowieckie	M. Warszawa
00-082	ul. Senatorska od 6 do 18	Warszawa	mazowieckie	M. Warszawa
00-083	ul. Nowy Przejazd	Warszawa	mazowieckie	M. Warszawa
00-084	ul. Daniłowiczowska od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-085	ul. Bielańska od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-086	ul. Bielańska od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-087	ul. Corazziego Antoniego	Warszawa	mazowieckie	M. Warszawa
00-088	ul. Tłomackie	Warszawa	mazowieckie	M. Warszawa
00-089	ul. Gamerskiego Tylmana	Warszawa	mazowieckie	M. Warszawa
00-090	Al. Solidarności od 71 do 79	Warszawa	mazowieckie	M. Warszawa
00-091	Pl. Bankowy od 6 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-092	ul. Hipoteczna od 2 do 4, od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-093	ul. Daniłowiczowska od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-094	ul. Wierzbowa	Warszawa	mazowieckie	M. Warszawa
00-095	Pl. Bankowy od 2 do 4	Warszawa	mazowieckie	M. Warszawa
00-095	ul. Senatorska od 20 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-096	Poczta Warszawa 084, ul. Senatorska 40	Warszawa	mazowieckie	M. Warszawa
00-097	ul. Fredry Aleksandra	Warszawa	mazowieckie	M. Warszawa
00-098	ul. Niecała	Warszawa	mazowieckie	M. Warszawa
00-099	ul. Canaletta	Warszawa	mazowieckie	M. Warszawa
00-099	ul. Senatorska od 23 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-100	ul. Przechodnia	Warszawa	mazowieckie	M. Warszawa
00-102	ul. Marszałkowska od 111 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-103	ul. Królewska od 16 do ostatniego, od 31 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-104	Pl. Grzybowski od 10 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-105	ul. Twarda od 2 do 24	Warszawa	mazowieckie	M. Warszawa
00-107	ul. Próżna	Warszawa	mazowieckie	M. Warszawa
00-108	ul. Zielna	Warszawa	mazowieckie	M. Warszawa
00-109	Pl. Grzybowski od 2 do 8	Warszawa	mazowieckie	M. Warszawa
00-110	Pl. Defilad	Warszawa	mazowieckie	M. Warszawa
00-110	ul. Marszałkowska od 101 do 109	Warszawa	mazowieckie	M. Warszawa
00-111	Poczta Warszawa 120, Al. Jerozolimskie 54	Warszawa	mazowieckie	M. Warszawa
00-112	ul. Bagno	Warszawa	mazowieckie	M. Warszawa
00-113	ul. Plater Emilii od 36 do ostatniego, od 53 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-114	ul. Twarda od 1 do 15	Warszawa	mazowieckie	M. Warszawa
00-115	Pl. Grzybowski od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-116	Al. Jana Pawła II od 18 do 18	Warszawa	mazowieckie	M. Warszawa
00-116	ul. Świętokrzyska od 24 do ostatniego, od 39 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-117	Al. Jana Pawła II od 2 do 10	Warszawa	mazowieckie	M. Warszawa
00-117	ul. Chmielna od 38 do 88, od 37 do 67	Warszawa	mazowieckie	M. Warszawa
00-118	ul. Plater Emilii od 34 do 34, od 37 do 47	Warszawa	mazowieckie	M. Warszawa
00-119	ul. Sosnowa	Warszawa	mazowieckie	M. Warszawa
00-120	ul. Złota od 10 do 56, od 13 do 59	Warszawa	mazowieckie	M. Warszawa
00-121	ul. Sienna od 1 do 45	Warszawa	mazowieckie	M. Warszawa
00-123	ul. Mariańska	Warszawa	mazowieckie	M. Warszawa
00-124	Al. Jana Pawła II od 12 do 16	Warszawa	mazowieckie	M. Warszawa
00-124	ul. Pańska od 2 do 46, od 1 do 45	Warszawa	mazowieckie	M. Warszawa
00-124	ul. Rondo ONZ od 1 do 1	Warszawa	mazowieckie	M. Warszawa
00-125	ul. Plater Emilii od 49 do 51	Warszawa	mazowieckie	M. Warszawa
00-126	ul. Sienna od 2 do 48	Warszawa	mazowieckie	M. Warszawa
00-127	ul. Śliska od 2 do 28, od 1 do 29	Warszawa	mazowieckie	M. Warszawa
00-130	ul. Graniczna	Warszawa	mazowieckie	M. Warszawa
00-131	ul. Grzybowska od 2 do 10	Warszawa	mazowieckie	M. Warszawa
00-132	ul. Grzybowska od 12 do 26, od 1 do 25	Warszawa	mazowieckie	M. Warszawa
00-133	Al. Jana Pawła II od 20 do 26	Warszawa	mazowieckie	M. Warszawa
00-135	Al. Jana Pawła II od 28 do 30	Warszawa	mazowieckie	M. Warszawa
00-136	Pl. Żelaznej Bramy	Warszawa	mazowieckie	M. Warszawa
00-137	ul. Elektoralna od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-138	Pl. Mirowski	Warszawa	mazowieckie	M. Warszawa
00-138	ul. Ptasia	Warszawa	mazowieckie	M. Warszawa
00-138	ul. Zimna	Warszawa	mazowieckie	M. Warszawa
00-139	Pl. Bankowy od 1 do 1	Warszawa	mazowieckie	M. Warszawa
00-139	ul. Elektoralna od 2 do 22	Warszawa	mazowieckie	M. Warszawa
00-140	Al. Solidarności od 103 do 117	Warszawa	mazowieckie	M. Warszawa
00-141	Al. Jana Pawła II od 32 do 42	Warszawa	mazowieckie	M. Warszawa
00-142	Pl. Bankowy od 3 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-143	ul. Orla	Warszawa	mazowieckie	M. Warszawa
00-144	Al. Solidarności od 81 do 101	Warszawa	mazowieckie	M. Warszawa
00-145	Al. Jana Pawła II od 44 do 44	Warszawa	mazowieckie	M. Warszawa
00-145	Al. Solidarności od 72 do 82	Warszawa	mazowieckie	M. Warszawa
00-146	ul. Nowolipie od 1 do 7	Warszawa	mazowieckie	M. Warszawa
00-147	Al. Generała Andersa Władysława od 1 do 5	Warszawa	mazowieckie	M. Warszawa
00-148	Al. Jana Pawła II od 46 do 50	Warszawa	mazowieckie	M. Warszawa
00-149	ul. Karmelicka od 2 do 6, od 1 do 5	Warszawa	mazowieckie	M. Warszawa
00-150	ul. Nowolipie od 2 do 14, od 9 do 19	Warszawa	mazowieckie	M. Warszawa
00-151	ul. Nowolipki od 1 do 17	Warszawa	mazowieckie	M. Warszawa
00-152	Al. Jana Pawła II od 52 do 54	Warszawa	mazowieckie	M. Warszawa
00-153	ul. Nowolipki od 4 do 12	Warszawa	mazowieckie	M. Warszawa
00-153	ul. Zamenhofa Ludwika od 1 do 1	Warszawa	mazowieckie	M. Warszawa
00-154	ul. Dzielna od 7 do 7A	Warszawa	mazowieckie	M. Warszawa
00-155	ul. Karmelicka od 8 do 8, od 7 do 11	Warszawa	mazowieckie	M. Warszawa
00-156	Al. Jana Pawła II od 56 do 58	Warszawa	mazowieckie	M. Warszawa
00-157	ul. Anielewicza Mordechaja od 2 do 8, od 1 do 5	Warszawa	mazowieckie	M. Warszawa
00-158	ul. Nalewki od 2 do ostatniego, od 1 do 3, od 7 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-159	Al. Generała Andersa Władysława od 7 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-159	ul. Dawidowskiego Alka	Warszawa	mazowieckie	M. Warszawa
00-160	ul. Nowolipki od 2 do 2	Warszawa	mazowieckie	M. Warszawa
00-160	ul. Zamenhofa Ludwika od 2 do 8	Warszawa	mazowieckie	M. Warszawa
00-161	ul. Anielewicza Mordechaja od 7 do 13	Warszawa	mazowieckie	M. Warszawa
00-162	ul. Dzielna od 2 do 28, od 1 do 5	Warszawa	mazowieckie	M. Warszawa
00-163	ul. Karmelicka od 10 do 18, od 13 do 15	Warszawa	mazowieckie	M. Warszawa
00-164	ul. Pawia od 2 do 14, od 1 do 13	Warszawa	mazowieckie	M. Warszawa
00-165	ul. Zamenhofa Ludwika od 3 do 9	Warszawa	mazowieckie	M. Warszawa
00-166	Al. Jana Pawła II od 60 do 62	Warszawa	mazowieckie	M. Warszawa
00-167	ul. Anielewicza Mordechaja od 10 do 14, od 15 do 19	Warszawa	mazowieckie	M. Warszawa
00-168	ul. Karmelicka od 17 do 21	Warszawa	mazowieckie	M. Warszawa
00-169	ul. Lewartowskiego Józefa od 18 do ostatniego, od 17 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-170	Al. Jana Pawła II od 64 do 68	Warszawa	mazowieckie	M. Warszawa
00-171	ul. Błońska	Warszawa	mazowieckie	M. Warszawa
00-172	ul. Dzika od 6 do 18, od 1 do 23	Warszawa	mazowieckie	M. Warszawa
00-173	ul. Karmelicka od 23 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-174	ul. Miła od 8 do 10, od 15 do 21	Warszawa	mazowieckie	M. Warszawa
00-175	Al. Jana Pawła II od 70 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-176	ul. Niska od 8 do 14, od 9 do 13	Warszawa	mazowieckie	M. Warszawa
00-177	ul. Skwer Wieźniów Politycznych Stalinizmu	Warszawa	mazowieckie	M. Warszawa
00-178	ul. Stawki od 10 do 14, od 11 do 15	Warszawa	mazowieckie	M. Warszawa
00-179	ul. Niska od 2 do 6, od 1 do 7	Warszawa	mazowieckie	M. Warszawa
00-180	ul. Miła od 2 do 6, od 1 do 13	Warszawa	mazowieckie	M. Warszawa
00-181	ul. Karmelicka od 24 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-182	ul. Dubois Stanisława od 7 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-183	ul. Stawki od 5 do 9	Warszawa	mazowieckie	M. Warszawa
00-184	ul. Dubois Stanisława od 1 do 5	Warszawa	mazowieckie	M. Warszawa
00-185	ul. Lewartowskiego Józefa od 10 do 16, od 9 do 15	Warszawa	mazowieckie	M. Warszawa
00-186	ul. Karmelicka od 20 do 22	Warszawa	mazowieckie	M. Warszawa
00-187	ul. Nalewki od 5 do 5	Warszawa	mazowieckie	M. Warszawa
00-187	ul. Zamenhofa Ludwika od 10 do ostatniego, od 11 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-188	ul. Dubois Stanisława od 6 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-189	ul. Inflancka	Warszawa	mazowieckie	M. Warszawa
00-190	ul. Lewartowskiego Józefa od 2 do 8, od 1 do 7	Warszawa	mazowieckie	M. Warszawa
00-191	Poczta Warszawa 047, ul. Lewartowskiego 5	Warszawa	mazowieckie	M. Warszawa
00-192	ul. Muranowska od 4 do ostatniego, od 3 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-193	ul. Stawki od 2 do 8, od 1 do 3	Warszawa	mazowieckie	M. Warszawa
00-194	ul. Dzika od 2 do 4	Warszawa	mazowieckie	M. Warszawa
00-195	ul. Słomińskiego Zygmunta od 3 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-196	ul. Dubois Stanisława od 2 do 4	Warszawa	mazowieckie	M. Warszawa
00-197	ul. Kłopot	Warszawa	mazowieckie	M. Warszawa
00-198	Poczta Warszawa 080, ul. Dzika 4	Warszawa	mazowieckie	M. Warszawa
00-199	ul. Pokorna	Warszawa	mazowieckie	M. Warszawa
00-200	ul. Franciszkańska od 21 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-201	Al. Generała Andersa Władysława od 6 do 28	Warszawa	mazowieckie	M. Warszawa
00-202	ul. Wałowa od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-202	ul. Świętojerska od 16 do ostatniego, od 13 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-203	ul. Bonifraterska od 18 do ostatniego, od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-204	ul. Słomińskiego Zygmunta od 2 do ostatniego, od 1 do 1	Warszawa	mazowieckie	M. Warszawa
00-205	ul. Franciszkańska od 16 do ostatniego, od 11 do 19	Warszawa	mazowieckie	M. Warszawa
00-206	ul. Konwiktorska od 6 do 6	Warszawa	mazowieckie	M. Warszawa
00-207	Pl. Krasińskich	Warszawa	mazowieckie	M. Warszawa
00-208	ul. Międzyparkowa	Warszawa	mazowieckie	M. Warszawa
00-209	ul. Muranowska od 2 do 2, od 1 do 1	Warszawa	mazowieckie	M. Warszawa
00-210	Al. Generała Andersa Władysława od 30 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-211	ul. Wałowa od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-213	ul. Bonifraterska od 2 do 16	Warszawa	mazowieckie	M. Warszawa
00-214	ul. Franciszkańska od 2 do 14	Warszawa	mazowieckie	M. Warszawa
00-215	ul. Dolańskiego Włodzimierza	Warszawa	mazowieckie	M. Warszawa
00-215	ul. Fondamińskiego Edwarda	Warszawa	mazowieckie	M. Warszawa
00-215	ul. Sapieżyńska	Warszawa	mazowieckie	M. Warszawa
00-216	ul. Konwiktorska od 5 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-217	ul. Konwiktorska od 2 do 4, od 8 do ostatniego, od 1 do 3	Warszawa	mazowieckie	M. Warszawa
00-218	ul. Kościelna	Warszawa	mazowieckie	M. Warszawa
00-219	ul. Przyrynek	Warszawa	mazowieckie	M. Warszawa
00-220	ul. Rajców	Warszawa	mazowieckie	M. Warszawa
00-220	ul. Samborska	Warszawa	mazowieckie	M. Warszawa
00-221	ul. Burmistrzowska	Warszawa	mazowieckie	M. Warszawa
00-221	ul. Rybaki	Warszawa	mazowieckie	M. Warszawa
00-222	ul. Sanguszki Romana	Warszawa	mazowieckie	M. Warszawa
00-223	ul. Wenedów	Warszawa	mazowieckie	M. Warszawa
00-224	"ul. Skwer Batalionu AK ""Gozdawa"""	Warszawa	mazowieckie	M. Warszawa
00-224	ul. Wójtowska	Warszawa	mazowieckie	M. Warszawa
00-225	ul. Szymanowska	Warszawa	mazowieckie	M. Warszawa
00-225	ul. Zakroczymska	Warszawa	mazowieckie	M. Warszawa
00-227	ul. Franciszkańska od 1 do 1	Warszawa	mazowieckie	M. Warszawa
00-227	ul. Freta	Warszawa	mazowieckie	M. Warszawa
00-228	ul. Koźla od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-229	ul. Rynek Nowego Miasta	Warszawa	mazowieckie	M. Warszawa
00-230	ul. Piesza	Warszawa	mazowieckie	M. Warszawa
00-231	ul. Mostowa od 32 do 32	Warszawa	mazowieckie	M. Warszawa
00-231	ul. Stara	Warszawa	mazowieckie	M. Warszawa
00-232	ul. Ciasna	Warszawa	mazowieckie	M. Warszawa
00-232	ul. Gomulickiego Wiktora	Warszawa	mazowieckie	M. Warszawa
00-233	ul. Franciszkańska od 3 do 9	Warszawa	mazowieckie	M. Warszawa
00-234	ul. Koźla od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-235	ul. Nowiniarska	Warszawa	mazowieckie	M. Warszawa
00-236	ul. Świętojerska od 2 do 14, od 1 do 11	Warszawa	mazowieckie	M. Warszawa
00-237	ul. Barokowa	Warszawa	mazowieckie	M. Warszawa
00-238	ul. Długa od 2 do 42, od 9 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-240	Al. Solidarności od 58 do 70	Warszawa	mazowieckie	M. Warszawa
00-241	ul. Długa od 44 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-242	ul. Bohaterów Getta	Warszawa	mazowieckie	M. Warszawa
00-243	Al. Generała Andersa Władysława od 2 do 4	Warszawa	mazowieckie	M. Warszawa
00-244	ul. Hipoteczna od 6 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-245	ul. Kapucyńska	Warszawa	mazowieckie	M. Warszawa
00-246	ul. Miodowa od 14 do ostatniego, od 9 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-248	ul. Schillera Leona	Warszawa	mazowieckie	M. Warszawa
00-249	ul. Kapitulna od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-251	ul. Miodowa od 6 do 12, od 5 do 7	Warszawa	mazowieckie	M. Warszawa
00-252	ul. Podwale od 2 do 24, od 1 do 19	Warszawa	mazowieckie	M. Warszawa
00-253	ul. Kapitulna od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-254	ul. Rycerska	Warszawa	mazowieckie	M. Warszawa
00-255	ul. Szeroki Dunaj	Warszawa	mazowieckie	M. Warszawa
00-256	ul. Wąski Dunaj od 2 do ostatniego, od 5 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-257	ul. Kilińskiego Jana	Warszawa	mazowieckie	M. Warszawa
00-258	ul. Brzozowa od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-259	ul. Boleść	Warszawa	mazowieckie	M. Warszawa
00-260	ul. Mostowa od 2 do 30, od 34 do ostatniego, od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-260	ul. Nowomiejska od 21 do 21	Warszawa	mazowieckie	M. Warszawa
00-261	ul. Podwale od 26 do ostatniego, od 21 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-262	ul. Celna od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-263	ul. Długa od 1 do 7	Warszawa	mazowieckie	M. Warszawa
00-264	ul. Piekarska	Warszawa	mazowieckie	M. Warszawa
00-265	ul. Piwna	Warszawa	mazowieckie	M. Warszawa
00-266	ul. Świętojańska od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-267	Pl. Zamkowy od 1 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-268	ul. Wąski Dunaj od 1 do 3	Warszawa	mazowieckie	M. Warszawa
00-270	ul. Krzywe Koło	Warszawa	mazowieckie	M. Warszawa
00-271	ul. Nowomiejska od 2 do ostatniego, od 1 do 19, od 23 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-272	ul. Rynek Starego Miasta	Warszawa	mazowieckie	M. Warszawa
00-273	Poczta Warszawa 040, ul. Rynek Starego Miasta 15	Warszawa	mazowieckie	M. Warszawa
00-274	ul. Zapiecek	Warszawa	mazowieckie	M. Warszawa
00-275	ul. Kamienne Schodki	Warszawa	mazowieckie	M. Warszawa
00-277	Pl. Zamkowy od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-278	ul. Kanonia	Warszawa	mazowieckie	M. Warszawa
00-279	ul. Dziekania	Warszawa	mazowieckie	M. Warszawa
00-280	ul. Skwer I Dywizji Pancernej	Warszawa	mazowieckie	M. Warszawa
00-280	ul. Wybrzeże Gdańskie	Warszawa	mazowieckie	M. Warszawa
00-281	ul. Jezuicka	Warszawa	mazowieckie	M. Warszawa
00-282	ul. Dawna	Warszawa	mazowieckie	M. Warszawa
00-283	ul. Steinkellera Piotra Antoniego	Warszawa	mazowieckie	M. Warszawa
00-284	ul. Wodna	Warszawa	mazowieckie	M. Warszawa
00-285	ul. Bugaj	Warszawa	mazowieckie	M. Warszawa
00-286	ul. Brzozowa od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-287	ul. Celna od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-288	ul. Świętojańska od 2 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-301	ul. Nowy Zjazd	Warszawa	mazowieckie	M. Warszawa
00-302	ul. Mariensztat	Warszawa	mazowieckie	M. Warszawa
00-303	ul. Boczna	Warszawa	mazowieckie	M. Warszawa
00-304	ul. Białoskórnicza	Warszawa	mazowieckie	M. Warszawa
00-305	ul. Dobra od 92 do ostatniego, od 89 do ostatniego	Warszawa	mazowieckie	M. Warszawa
00-306	ul. Garbarska	Warszawa	mazowieckie	M. Warszawa
00-307	ul. Krzywopoboczna	Warszawa	mazowieckie	M. Warszawa
00-308	ul. Grodzka	Warszawa	mazowieckie	M. Warszawa
00-309	ul. Źródłowa	Warszawa	mazowieckie	M. Warszawa
00-310	ul. Bednarska od 2 do 14, od 1 do 11	Warszawa	mazowieckie	M. Warszawa
